title,author,release_date,length
Too Good to Be True,Written by: Prajakta Koli,Release Date: 23-03-25,6 hrs and 38 mins
One Arranged Murder (Hindi Edition),Written by: Chetan Bhagat,Release Date: 07-03-25,5 hrs and 40 mins
The Primal Hunter 11,Written by: Zogarth,Release Date: 05-03-25,23 hrs and 31 mins
The Quick and Easy Way to Effective Speaking,Written by: Dale Carnegie,Release Date: 14-06-18,6 hrs and 39 mins
Ramayana Banaam Mahabharata [Ramayana vs. Mahabharata],Written by: Devdutt Pattanaik,Release Date: 26-02-20,6 hrs and 19 mins
Art of Seduction,Written by: Robert Greene,Release Date: 01-05-15,22 hrs and 51 mins
Complete Chanakya Neeti,Written by: R.P. Jain,Release Date: 22-07-21,4 hrs
You Are the Best Wife,Written by: Ajay K. Pandey,Release Date: 09-01-17,7 hrs and 29 mins
Why I Am an Atheist and Other Works,Written by: Bhagat Singh,Release Date: 08-04-20,3 hrs
Beautiful Exile,Written by: Catherine Cowles,Release Date: 18-03-25,11 hrs and 43 mins
Sunrise on the Reaping,Written by: Suzanne Collins,Release Date: 18-03-25,12 hrs and 48 mins
Careless People,Written by: Sarah Wynn-Williams,Release Date: 13-03-25,13 hrs and 16 mins
The Art of Influencing People,Written by: Virender Kapoor,Release Date: 03-05-18,38 mins
My Experiments with Truth,Written by: Mohandas K. Gandhi,Release Date: 14-10-21,19 hrs and 11 mins
The Next Conversation,Written by: Jefferson Fisher,Release Date: 20-03-25,6 hrs and 35 mins
The Blue Umbrella,Written by: Ruskin Bond,Release Date: 01-01-17,51 mins
Mahabharat Katha [Mahabharata Story],Written by: Amritlal Nagar,Release Date: 14-10-21,10 hrs and 41 mins
"30 Days - Change Your Habits, Change Your Life",Written by: Marc Reklau,Release Date: 15-01-17,4 hrs and 12 mins
Twisted Hate,Written by: Ana Huang,Release Date: 19-07-22,15 hrs
Ashes of Spring,"Written by: Mieko Kawakami, Hitomi Yoshio - translator",Release Date: 07-03-25,4 hrs and 42 mins
Sunderkand (Hindi Edition),Written by: Goswami Tulsidas,Release Date: 25-10-22,3 hrs and 23 mins
Offside,Written by: Avery Keelan,Release Date: 16-05-23,17 hrs and 40 mins
The Commuter,"Written by: James Patterson, Aaron Tracy",Release Date: 27-02-25,2 hrs and 30 mins
Gaban [Embezzlement],Written by: Munshi Premchand,Release Date: 21-02-22,11 hrs and 36 mins
Sahaj Yog,Written by: OSHO,Release Date: 26-05-17,37 hrs and 10 mins
Zapurza Part 1 (Marathi Edition),Written by: Achyut Godbole,Release Date: 05-03-25,18 hrs and 56 mins
"Medical Medium Angels, Demons & Spiritual Tools",Written by: Anthony William,Release Date: 18-03-25,7 hrs and 30 mins
Everything Is Tuberculosis,Written by: John Green,Release Date: 20-03-25,5 hrs and 36 mins
My Gita,Written by: Devdutt Pattanaik,Release Date: 01-01-17,6 hrs and 15 mins
Why I Am a Hindu,Written by: Shashi Tharoor,Release Date: 12-05-23,13 hrs and 2 mins
How to Talk to Anyone (Hindi Edition),Written by: Leil Lowndes,Release Date: 15-12-24,10 hrs and 19 mins
Valmiki Ramayan (Hindi Edition),Written by: Valmiki,Release Date: 15-06-22,7 hrs and 17 mins
41 Anmol Kahaniya [41 Priceless Stories],Written by: Premchand,Release Date: 14-10-21,15 hrs and 28 mins
Forge Your Future,Written by: A. P. J. Kalam,Release Date: 01-11-18,5 hrs and 37 mins
"The Sandman, Act I (Hindi Edition)","Written by: Neil Gaiman, Dirk Maggs",Release Date: 27-04-22,11 hrs and 3 mins
The Sunlit Man: A Cosmere Novel (Dramatized Adaptation),Written by: Brandon Sanderson,Release Date: 10-03-25,10 hrs and 10 mins
Pride and Prejudice,Written by: Jane Austen,Release Date: 08-12-15,11 hrs and 35 mins
Yupi 65 (UP 65) (Hindi Edition),Written by: Nikhil Sachan,Release Date: 29-10-18,5 hrs and 55 mins
Yogi Kathamrit (Ek Yogi Ki Atmakatha) [Autobiography of a Yogi],Written by: Paramahansa Yogananda,Release Date: 27-12-23,20 hrs and 7 mins
The Power of Your Subconscious Mind,Written by: Dr. Joseph Murphy,Release Date: 15-11-16,7 hrs and 57 mins
Panchatantra,"Written by: Pandit Vishnu Sharma, G. L. Chandiramani",Release Date: 08-11-18,7 hrs and 31 mins
An Era of Darkness,Written by: Shashi Tharoor,Release Date: 26-01-17,12 hrs and 26 mins
The Jane Austen Collection,Written by: Jane Austen,Release Date: 05-11-20,45 hrs
The Writer on the Hill,Written by: Ruskin Bond,Release Date: 20-02-17,15 hrs and 20 mins
The Favor,Written by: Suzanne Wright,Release Date: 12-01-21,15 hrs and 23 mins
Atomic Habits (Hindi Edition),Written by: James Clear,Release Date: 27-12-24,8 hrs and 9 mins
Shiv Puran (Hindi Edition),Written by: Dr. Vinay,Release Date: 19-07-21,7 hrs and 54 mins
Think and Grow Rich,Written by: Napoleon Hill,Release Date: 16-10-07,9 hrs and 35 mins
True Crime Case Histories: Massive 15-Book Collection,Written by: Jason Neal,Release Date: 14-12-24,65 hrs and 33 mins
Dealing with Difficult People,Written by: Harvard Business Review,Release Date: 08-09-22,1 hr and 47 mins
The Contract,Written by: Melanie Moreland,Release Date: 11-10-16,8 hrs and 43 mins
The Tell,Written by: Amy Griffin,Release Date: 13-03-25,7 hrs and 40 mins
The Ratcatcher,Written by: Anthony Khaseria,Release Date: 20-02-25,5 hrs and 18 mins
Who Is Government?,Written by: Michael Lewis,Release Date: 18-03-25,6 hrs and 42 mins
Sapiens (Malayalam Edition),"Written by: Yuval Noah Harari, Senu Kurian George",Release Date: 26-02-25,21 hrs and 37 mins
Crave,Written by: Tracy Wolff,Release Date: 07-04-20,14 hrs and 56 mins
How to Stop Worrying and Start Living,Written by: Dale Carnegie,Release Date: 11-07-18,9 hrs and 42 mins
Meri Gita,Written by: Devdutt Pattanaik,Release Date: 04-10-17,7 hrs and 39 mins
M T Yude Kathakal (Malayalam Edition),Written by: M.T. Vasudevan Nair,Release Date: 04-03-25,20 hrs and 53 mins
Life Is What Matters,Written by: Alka Dixit,Release Date: 05-10-18,4 hrs and 41 mins
Babylon Ka Sabse Ameer Aadami [The Richest Man in Babylon],Written by: George S. Clason,Release Date: 24-10-22,4 hrs and 46 mins
The Diary of a Young Girl [Hindi],Written by: Anne Frank,Release Date: 23-07-19,11 hrs and 41 mins
Call Me Maybe,Written by: Cara Bastone,Release Date: 20-10-20,5 hrs and 55 mins
Chanakya Aur Chandragupt [Chanakya and Chandragupta],Written by: Rajender Pandya,Release Date: 19-07-21,6 hrs
Philosophia Ultima,Written by: Osho,Release Date: 24-08-17,19 hrs and 43 mins
The Woman in White,Written by: Wilkie Collins,Release Date: 27-08-10,24 hrs and 37 mins
Nirvana: the Last Nightmare,Written by: Osho,Release Date: 01-03-16,15 hrs and 52 mins
Data & AI Imperative,Written by: Lillian Pierson,Release Date: 11-03-25,10 hrs and 50 mins
How to Win Friends and Influence People (Marathi Edition),Written by: Dale Carnegie,Release Date: 19-09-23,9 hrs and 55 mins
A Fistful of Love,Written by: Om Swami,Release Date: 05-08-19,6 hrs and 51 mins
Dream With Your Eyes Open,Written by: Ronnie Screwvala,Release Date: 05-09-19,7 hrs and 19 mins
Autobiography of a Yogi (Hindi Edition),Written by: Paramahansa Yogananda,Release Date: 14-10-21,23 hrs and 46 mins
Her Last Wish,Written by: Ajay K. Pandey,Release Date: 06-07-17,6 hrs and 54 mins
A Kingdom of Flesh and Fire (Part 2 of 2) (Dramatized Adaptation),Written by: Jennifer L. Armentrout,Release Date: 07-03-25,9 hrs and 16 mins
How Not to Invest,Written by: Barry Ritholtz,Release Date: 19-03-25,13 hrs and 47 mins
The Bookworm Crush,Written by: Lisa Brown Roberts,Release Date: 14-01-20,10 hrs and 34 mins
Anathema,Written by: Keri Lake,Release Date: 18-03-25,20 hrs and 14 mins
Morning Star,Written by: Pierce Brown,Release Date: 09-02-16,21 hrs and 50 mins
The Mastery Manual (Hindi),Written by: Robin Sharma,Release Date: 05-02-18,4 hrs and 51 mins
Art of Stress Management (Rupa Quick Reads),Written by: Sarvesh Gulati,Release Date: 06-11-17,1 hr and 16 mins
Panchatantra (Hindi Edition),Written by: Vishnu Sharma,Release Date: 29-06-22,5 hrs and 41 mins
Buddha's Brain,"Written by: Rick Hanson PhD, Daniel J. Siegel MD - foreword, Richard Mendius MD - contributor, Jack Kornfield - preface",Release Date: 04-03-25,8 hrs and 45 mins
Sherlock Holmes: The Definitive Collection,"Written by: Stephen Fry - introductions, Arthur Conan Doyle",Release Date: 27-02-17,71 hrs and 57 mins
An Elderly Lady Is Up to No Good,"Written by: Helene Tursten, Marlaine Delargy - Translated by",Release Date: 11-06-19,3 hrs and 12 mins
Tell Me Lies,Written by: J. P. Pomare,Release Date: 05-03-20,6 hrs and 20 mins
A Girl to Remember,Written by: Ajay K. Pandey,Release Date: 02-05-19,6 hrs and 2 mins
The Moneychangers,Written by: Arthur Hailey,Release Date: 07-04-20,18 hrs and 45 mins
HBR's 10 Must Reads on Mental Toughness,"Written by: Harvard Business Review, Martin E. P. Seligman, Tony Schwartz, Warren G. Bennis, Robert J. Thomas",Release Date: 24-12-19,4 hrs and 30 mins
How to Say It: Words That Make a Difference,"Written by: Allison Friederichs Atkison, The Great Courses",Release Date: 14-07-22,4 hrs and 44 mins
Shroud,Written by: Adrian Tchaikovsky,Release Date: 27-02-25,14 hrs and 36 mins
The Instant AI Agency,Written by: Dan Wardrope,Release Date: 30-08-24,3 hrs and 7 mins
The Magic of Self-Respect,Written by: Osho,Release Date: 22-08-16,29 hrs and 16 mins
Garuda Puran,Written by: Dr. Vinay,Release Date: 19-07-21,6 hrs and 8 mins
Dark Horse: Ek Ankahi Dastan (Hindi Edition),Written by: Nilotpal Mrinal,Release Date: 03-11-20,6 hrs and 13 mins
Limitless (Hindi Edition),Written by: Jim Kwik,Release Date: 22-11-24,12 hrs and 7 mins
Ramayana (Hindi Edition),Written by: Anand Neelakantan,Release Date: 15-04-24,15 hrs and 15 mins
Prem Panth Aiso Kathin,Written by: OSHO,Release Date: 26-05-17,27 hrs and 21 mins
Ichigo Ichie (Hindi Edition),"Written by: Hector Garcia, Fransesc Miralles",Release Date: 07-12-22,4 hrs and 9 mins
50 Psychology Classics,Written by: Tom Butler-Bowdon,Release Date: 07-02-07,12 hrs and 24 mins
Satya Ke Sath Mere Prayog [My Experiment with Truth],Written by: M. K. Gandhi,Release Date: 25-06-19,22 hrs and 54 mins
The Girl in Room 105 (Hindi Edition),Written by: Chetan Bhagat,Release Date: 18-04-24,5 hrs and 19 mins
Flashback,Written by: Shannon Messenger,Release Date: 11-12-18,23 hrs and 9 mins
Kalki Puran (Hindi Edition),Written by: Dr. Vinay,Release Date: 19-07-21,6 hrs and 10 mins
How to Train a Wild Elephant & Other Adventures in Mindfulness,Written by: Jan Chozen Bays MD,Release Date: 06-01-15,6 hrs and 6 mins
Kautilya Arthshastra (Hindi Edition),Written by: Chanakya,Release Date: 26-02-20,6 hrs
Dark Russian Angel,Written by: Odette Stone,Release Date: 29-09-20,10 hrs and 13 mins
Murder in Bermuda,"Written by: James Patterson, Aaron Tracy, Thaddeus McCants",Release Date: 24-05-23,4 hrs
Bad Boss,Written by: Stella Rhys,Release Date: 27-02-18,8 hrs and 43 mins
Badi Soch Ka Bada Jadu [The Magic of Thinking Big],Written by: David Schwartz,Release Date: 09-01-19,11 hrs and 31 mins
Kyon Se Shuruwat Karein [Start with Why],Written by: Simon Sinek,Release Date: 14-08-20,10 hrs and 52 mins
Do Not Disturb,Written by: Freida McFadden,Release Date: 08-03-22,7 hrs and 53 mins
Origin Story,Written by: David Christian,Release Date: 22-05-18,12 hrs and 23 mins
The Heart Sutra,Written by: Osho,Release Date: 01-03-16,16 hrs and 24 mins
"Master Your Time, Master Your Life",Written by: Brian Tracy,Release Date: 11-10-16,4 hrs and 2 mins
Shameless,Written by: Gina L. Maxwell,Release Date: 18-01-22,5 hrs and 12 mins
Hotel,Written by: Arthur Hailey,Release Date: 17-03-20,15 hrs and 17 mins
Undercover Sex Signals,Written by: Leil Lowndes,Release Date: 05-08-15,5 hrs and 29 mins
The Power of Habit (Hindi Edition),Written by: Charles Duhigg,Release Date: 09-11-21,13 hrs and 23 mins
Na Kehne Ki Kala (Hindi Edition),Written by: Damon Zahariades,Release Date: 23-10-24,3 hrs and 22 mins
