title,author,release_date,length,day,month,year,release_year,length_mins,year_group
Too Good to Be True,Written by: Prajakta Koli,Release Date: 23-03-25,6 hrs and 38 mins,23,03,25,2025,398,2021-2025
One Arranged Murder (Hindi Edition),Written by: Chetan Bhagat,Release Date: 07-03-25,5 hrs and 40 mins,07,03,25,2025,340,2021-2025
The Primal Hunter 11,Written by: Zogarth,Release Date: 05-03-25,23 hrs and 31 mins,05,03,25,2025,1411,2021-2025
The Quick and Easy Way to Effective Speaking,Written by: Dale Carnegie,Release Date: 14-06-18,6 hrs and 39 mins,14,06,18,2018,399,2016-2020
Ramayana Banaam Mahabharata [Ramayana vs. Mahabharata],Written by: Devdutt Pattanaik,Release Date: 26-02-20,6 hrs and 19 mins,26,02,20,2020,379,2016-2020
Art of Seduction,Written by: Robert Greene,Release Date: 01-05-15,22 hrs and 51 mins,01,05,15,2015,1371,2011-2015
Complete Chanakya Neeti,Written by: R.P. Jain,Release Date: 22-07-21,4 hrs,22,07,21,2021,240,2021-2025
You Are the Best Wife,Written by: Ajay K. Pandey,Release Date: 09-01-17,7 hrs and 29 mins,09,01,17,2017,449,2016-2020
Why I Am an Atheist and Other Works,Written by: Bhagat Singh,Release Date: 08-04-20,3 hrs,08,04,20,2020,180,2016-2020
Beautiful Exile,Written by: Catherine Cowles,Release Date: 18-03-25,11 hrs and 43 mins,18,03,25,2025,703,2021-2025
Sunrise on the Reaping,Written by: Suzanne Collins,Release Date: 18-03-25,12 hrs and 48 mins,18,03,25,2025,768,2021-2025
Careless People,Written by: Sarah Wynn-Williams,Release Date: 13-03-25,13 hrs and 16 mins,13,03,25,2025,796,2021-2025
The Art of Influencing People,Written by: Virender Kapoor,Release Date: 03-05-18,38 mins,03,05,18,2018,38,2016-2020
My Experiments with Truth,Written by: Mohandas K. Gandhi,Release Date: 14-10-21,19 hrs and 11 mins,14,10,21,2021,1151,2021-2025
The Next Conversation,Written by: Jefferson Fisher,Release Date: 20-03-25,6 hrs and 35 mins,20,03,25,2025,395,2021-2025
The Blue Umbrella,Written by: Ruskin Bond,Release Date: 01-01-17,51 mins,01,01,17,2017,51,2016-2020
Mahabharat Katha [Mahabharata Story],Written by: Amritlal Nagar,Release Date: 14-10-21,10 hrs and 41 mins,14,10,21,2021,641,2021-2025
